estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion
ZULIA,VE23,MARACAIBO,VE2313,MANUEL DAGNINO,VE231313,E.B.E.MARIA DEOMIRA GUERRERO DE ROSALES
ZULIA,VE23,SAN FRANCISCO,VE2317,FRANCISCO OCHOA,VE231704,E.B.GRAL. RAFAEL URDANETA. FE Y ALEGRIA
MIRANDA,VE15,EL HATILLO,VE1509,EL HATILLO,VE150901,E.B.M. JUAN MANUEL CAJIGAL
TACHIRA,VE20,FERNANDEZ FEO,VE2007,ALBERTO ADRIANI,VE200702,E.B.N BELEN MARIA SAN JUAN
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,E.B.N BOLIVAR Y CHAVEZ
ZULIA,VE23,MARACAIBO,VE2313,LUIS HURTADO HIGUERA,VE231312,E.B.N CARDONAL SUR
MIRANDA,VE15,INDEPENDENCIA,VE1511,SANTA TERESA DEL TUY,VE151101,E.B.N CIUDAD LOZADA
TACHIRA,VE20,PANAMERICANO,VE2019,LA PALMITA,VE201902,E.B.N CONC S/N S/N NER 532 SANTA CECILIA
MIRANDA,VE15,INDEPENDENCIA,VE1511,SANTA TERESA DEL TUY,VE151101,E.B.N CONCENTRACION ESCOLAR  3626
TACHIRA,VE20,PANAMERICANO,VE2019,LA PALMITA,VE201902,E.B.N CONCENTRADA S/N 19 NER 532 MESA DE LA BLANQUITA
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,E.B.N EDUARDO CHURION
MIRANDA,VE15,INDEPENDENCIA,VE1511,SANTA TERESA DEL TUY,VE151101,E.B.N JOSE GREGORIO HERNANDEZ
ZULIA,VE23,MARACAIBO,VE2313,LUIS HURTADO HIGUERA,VE231312,E.B.N LUIS GUILLERMO SANCHEZ
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,E.B.N MANUELA SAENZ
ZULIA,VE23,MARACAIBO,VE2313,SAN ISIDRO,VE231318,E.B.N MARCEL ROCHE DUGAND
ZULIA,VE23,SAN FRANCISCO,VE2317,MARCIAL HERNANDEZ,VE231706,E.B.N MONTE RICO N.E.R.473
ZULIA,VE23,MARACAIBO,VE2313,SAN ISIDRO,VE231318,E.B.N.  GASTON PARRA LUZARDO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. 12 DE MARZO
ZULIA,VE23,MARACAIBO,VE2313,LUIS HURTADO HIGUERA,VE231312,E.B.N. 8 DE NOVIEMBRE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. ALMIRANTE BRION
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. ALPANATE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,E.B.N. AMANDA DE SHNELL
ZULIA,VE23,MARA,VE2312,LA SIERRITA,VE231202,E.B.N. ANA MARIA CAMPOS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. ANDRES ELOY BLANCO
ZULIA,VE23,MARACAIBO,VE2313,COQUIVACOA,VE231307,E.B.N. ANU CACIQUE NIGALE
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,E.B.N. ARAGUITA II
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N. BOL VIRGEN DE LA DIVINA  PASTORA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. CALIE
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. CAUJARITO VIEJO
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. CIRA ELENA GONZALEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. CIUDAD DE BARCELONA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. CIUDAD DE CARACAS
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,E.B.N. CONC. BOLIV. ARTURO USLAR PIETRI
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,E.B.N. CONC. BOLIV. CONCEPCION MARINO
DELTA AMACURO,VE10,TUCUPITA,VE1004,JOSE VIDAL MARCANO,VE100402,E.B.N. CONC. BOLIV. CRISTOBAL COLON
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,E.B.N. CONC. BOLIV. ELEUTERIA PALACIOS (NER 117)
DELTA AMACURO,VE10,TUCUPITA,VE1004,VIRGEN DEL VALLE,VE100408,E.B.N. CONC. BOLIV. EZEQUIEL  ZAMORA
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,E.B.N. CONC. BOLIV. LUIS B. PRIETO FIGUEROA (NER 117)
DELTA AMACURO,VE10,TUCUPITA,VE1004,VIRGEN DEL VALLE,VE100408,E.B.N. CONC. BOLIV. MARIANO PICON SALAS
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,E.B.N. CONC. BOLIV. SANTIAGO MARINO
DELTA AMACURO,VE10,TUCUPITA,VE1004,VIRGEN DEL VALLE,VE100408,E.B.N. CONC. BOLIV. VICENTE EMILIO SOJO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,E.B.N. CONCENTRADA 13
ZULIA,VE23,SAN FRANCISCO,VE2317,JOSE DOMINGO RUS,VE231707,E.B.N. CREACION LA CUADRA DE BOLIVAR
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,E.B.N. EDUARDO CHURION
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. EL AMPARO
ZULIA,VE23,SAN FRANCISCO,VE2317,SAN FRANCISCO,VE231701,E.B.N. EMMA ELISA FINOL
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,E.B.N. ESFUERZO Y PROGRESO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. ESPANA
ZULIA,VE23,MARACAIBO,VE2313,IDELFONSO VASQUEZ,VE231310,E.B.N. FUERZA INDIGENA
TACHIRA,VE20,AYACUCHO,VE2003,RIVAS BERTI,VE200302,E.B.N. GRANJA SAN FELIX
ZULIA,VE23,MARA,VE2312,RICAURTE,VE231206,E.B.N. GUAREIRA
MIRANDA,VE15,INDEPENDENCIA,VE1511,SANTA TERESA DEL TUY,VE151101,E.B.N. JOSE GREGORIO HERNANDEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. JOSE ROJAS ARMAS
ZULIA,VE23,MARACAIBO,VE2313,COQUIVACOA,VE231307,E.B.N. JUAN PABLO PEREZ ALFONSO
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. LA CEIBA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,E.B.N. LA CUMBRE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,E.B.N. LA VEGA
ZULIA,VE23,MARACAIBO,VE2313,IDELFONSO VASQUEZ,VE231310,E.B.N. LAGUNA DE SINAMAICA
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,E.B.N. LCDO. HECTOR HIDALGO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. LOS MAGALLANES
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. MARIANO PICON SALAS
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,E.B.N. NINOS DE LA PATRIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. NUESTROS ILUSTRES PROCERES
MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,E.B.N. NUEVA CUA
ZULIA,VE23,MARA,VE2312,RICAURTE,VE231206,E.B.N. NUEVA SOCIEDAD
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N. PAULACHON
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. PEDRO MANUEL RUIZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. SAN MARTIN
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N. SUCRE
ZULIA,VE23,MARACAIBO,VE2313,VENANCIO PULGAR,VE231317,E.B.N. WILLIAN LARA
ZULIA,VE23,GUAJIRA,VE2315,SINAMAICA,VE231501,E.B.N.B MARIA BARTOLINA AMAYA
ZULIA,VE23,MARACAIBO,VE2313,SANTA LUCIA,VE231316,E.B.N.B. ALONSO DE OJEDA
ZULIA,VE23,MARACAIBO,VE2313,OLEGARIO VILLALOBOS,VE231314,E.B.N.B. ANSELMA PULGAR
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,E.B.N.B. ARANGUITA II
ZULIA,VE23,SAN FRANCISCO,VE2317,EL BAJO,VE231702,E.B.N.B. EL RODEO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,E.B.N.B. ESFUERZO Y PROGRESO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N.B. FLORENCIO JIMENEZ
ZULIA,VE23,ROSARIO DE PERIJA,VE2316,EL ROSARIO,VE231601,E.B.N.B. FRANCISCO CORBACHO (ANTES E.B.N.B. AMPARO)
ZULIA,VE23,GUAJIRA,VE2315,SINAMAICA,VE231501,E.B.N.B. GERMAN MAPPARI
ZULIA,VE23,MARACAIBO,VE2313,OLEGARIO VILLALOBOS,VE231314,E.B.N.B. HERMAGORAS CHAVEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.N.B. JOSE GERVASIO ARTIGAS
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N.B. JURUBA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N.B. LAS HUERTAS
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.B.N.B. LOS ACEITUNOS
ZULIA,VE23,MARACAIBO,VE2313,SANTA LUCIA,VE231316,E.B.N.B. SIMON RODRIGUEZ
DELTA AMACURO,VE10,TUCUPITA,VE1004,MONSENOR ARGIMIRO GARCIA,VE100406,E.B.N.C LA ESPERANZA
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,E.B.N.GUSTAVO NIETO
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. BELLA VISTA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. JOSE ANDRES ROMERO SHARAPA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. MARAKA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. MIJARA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. MOMPOX
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. PARAYA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. SAN JOSE DE SOPERA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. SANTA ELENA DE KINILLA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. TINAKOA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,E.B.N.I. TOREY
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA PASTORA,VE010111,E.B.P. SAN FRANCISCO JAVIER
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.B.P. SAN FRANCISCO JAVIER
ZULIA,VE23,SAN FRANCISCO,VE2317,FRANCISCO OCHOA,VE231704,E.B.P.GRAL. RAFAEL URDANETA FE Y ALEGRIA
MERIDA,VE14,ALBERTO ADRIANI,VE1401,PRESIDENTE ROMULO GALLEGOS,VE140101,E.E. MIGUEL JOSE SANZ
ZULIA,VE23,MARACAIBO,VE2313,MANUEL DAGNINO,VE231313,E.E.E. 15 DE ENERO
TACHIRA,VE20,CORDOBA,VE2006,CORDOBA,VE200601,E.E.I.E. MARCO ANTONIO RIBERA USECHE
MERIDA,VE14,ALBERTO ADRIANI,VE1401,PRESIDENTE PAEZ,VE140102,E.E.MAXIMILIANO RONDON ZERPA
MIRANDA,VE15,PEDRO GUAL,VE1516,CUPIRA,VE151601,E.E.R ONOVA
TACHIRA,VE20,JUNIN,VE2014,JUNIN,VE201401,E.G.B. PROFESOR MARCO TULIO RODRIGUEZ
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,E.I.B. MAURAK
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,E.I.B. SAN RAFAEL DE KAMOIRAN
MERIDA,VE14,ALBERTO ADRIANI,VE1401,PULIDO MENDEZ,VE140107,E.I.E. ANA MARIA CAMPOS
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M. BARBARO RIVAS
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M. GENERAL JOSE ANTONIO PAEZ
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M. JERMAN UBALDO LIRA
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M. MIGUEL JOSE SANZ
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M. MONS. LUCAS GUILLERMO CASTILLO
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M.R. AQUILES NAZOA
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,E.M.R. MANUELITA SAENZ
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,E.N . ANGEL ALBINO CONTRERAS
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,E.N DOMINGO ANTONIO SANCHEZ (ANTERIOR NER 228 EL ESCALANTE)
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,E.N FRANCISCO DE PAULA REINA
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,E.N. FRANCISCO DE PAULA REINA
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,E.N. JOAQUIN BARRAGAN (ANTERIOR NER 228 LA MORITA)
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,E.N. JOSE QUINTIN DURAN ( ANTERIOR NER 228 SAN RAFAEL)
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,E.N. RAMON IGNACIO MEDINA (ANTERIOR NER 228 EL VENADO)
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.N.D.E.I. CACIQUE GUAICAIPURO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.N.D.E.I. PEDRO ELIAS GUTIERREZ
ZULIA,VE23,MARA,VE2312,RICAURTE,VE231206,E.P.B.I.B. MANUAL ANGEL LUZARDO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,E.P.N. CONCENTRADA 057
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.S.C. ARTESANAL PARAGUAIPOA
ZULIA,VE23,GUAJIRA,VE2315,SINAMAICA,VE231501,E.S.C. LOS HERMANITOS
ZULIA,VE23,GUAJIRA,VE2315,SINAMAICA,VE231501,E.S.C. LOS RANCHOS (GRISELDA GRIEGO DE ABREU)
ZULIA,VE23,GUAJIRA,VE2315,SINAMAICA,VE231501,E.S.C. SINAMAICA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.S.C.B. LOS FILUOS II
ZULIA,VE23,MARACAIBO,VE2313,LUIS HURTADO HIGUERA,VE231312,E.T. DR. LUIS RAZETTI FE Y ALEGRIA
ZULIA,VE23,MARACAIBO,VE2313,ANTONIO BORJAS ROMERO,VE231301,E.T. FE Y ALEGRIA LDO. CESAR DAVID RINCON
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,E.T. NUEVA VENEZUELA FE Y ALEGRIA
TACHIRA,VE20,JUNIN,VE2014,JUNIN,VE201401,E.T.A . GERVASIO RUBIO
TACHIRA,VE20,INDEPENDENCIA,VE2011,ROMAN CARDENAS,VE201103,E.T.A. COLEGIO DR. ALBERTO DIAZ GONZALEZ FE Y ALEGRIA
TACHIRA,VE20,LIBERTADOR,VE2016,SAN JOAQUIN DE NAVAY,VE201604,E.T.A. COLEGIO JOSE VIDAL CHACON
TACHIRA,VE20,LIBERTADOR,VE2016,SAN JOAQUIN DE NAVAY,VE201604,E.T.A. COLEGIO JOSE VIDAL CHACON FE Y ALEGRIA
TACHIRA,VE20,FERNANDEZ FEO,VE2007,ALBERTO ADRIANI,VE200702,E.T.A. COLEGIO PBRO. RUBEN DARIO MORA
TACHIRA,VE20,FERNANDEZ FEO,VE2007,ALBERTO ADRIANI,VE200702,E.T.A. COLEGIO PBRO. RUBEN DARIO MORA FE Y ALEGRIA
TACHIRA,VE20,FERNANDEZ FEO,VE2007,FERNANDEZ FEO,VE200701,E.T.A. COLEGIO PBRO. RUBEN DARIO MORA FE Y ALEGRIA
APURE,VE04,PAEZ,VE0404,SAN CAMILO,VE040404,E.T.A. FE Y ALEGRIA PADRE JOSE PASTOR VILLALONGA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,E.T.A. FRANCISCO BABBINI
TACHIRA,VE20,GARCIA DE HEVIA,VE2009,JOSE ANTONIO PAEZ,VE200903,E.T.A. SAN ISIDRO LABRADOR FE Y ALEGRIA
TACHIRA,VE20,GARCIA DE HEVIA,VE2009,GARCIA DE HEVIA,VE200901,E.T.A. SAN ISIDRO LABRADOR FE Y ALEGRIA
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,E.T.A.N. SANTA RITA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.T.I. RAFAEL VEGAS
BOLIVAR,VE07,CARONI,VE0701,UNARE,VE070106,E.T.I. SIMON RODRIGUEZ FE Y ALEGRIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,E.T.I.R. JULIO CALCANO
TACHIRA,VE20,JUNIN,VE2014,JUNIN,VE201401,E.T.R.C CARLOS RANGEL LAMUS
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,EB ABRAHAN BELLOSO
MERIDA,VE14,LIBERTADOR,VE1412,EL MORRO,VE141214,EB BOLIVARIANA SIERRA NEVADA(EL PLAN)
MIRANDA,VE15,ANDRES BELLO,VE1502,SAN JOSE DE BARLOVENTO,VE150201,EB BURGUILLOS
ZULIA,VE23,MARA,VE2312,TAMARE,VE231207,EB CARRIZAL
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,EB DR JESUS RAMON AMADO
MERIDA,VE14,LIBERTADOR,VE1412,JACINTO PLAZA,VE141207,EB EL EDUCADOR
MIRANDA,VE15,BUROZ,VE1505,MAMPORAL,VE150501,EB GASPAR LANDAEZ
MIRANDA,VE15,ACEVEDO,VE1501,CAUCAGUA,VE150101,EB JOSE MARIA CARRERO
MIRANDA,VE15,ACEVEDO,VE1501,EL CAFE,VE150105,EB QUEBRADA FOFA
ZULIA,VE23,SAN FRANCISCO,VE2317,JOSE DOMINGO RUS,VE231707,EB SAN FRANCISCO (NERIO ADRIANZA R)
MIRANDA,VE15,ANDRES BELLO,VE1502,SAN JOSE DE BARLOVENTO,VE150201,EB SAN JOSE
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,EB VICTOR RAUL SANDOVAL
MIRANDA,VE15,PAEZ,VE1514,EL GUAPO,VE151402,EB. SANTA INES
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,EBE ALTERNATIVA EL CARMEN
DELTA AMACURO,VE10,TUCUPITA,VE1004,MARISCAL ANTONIO JOSE DE SUCRE,VE100405,EBE BOLIVARIANO DR. JOSE MARIA VARGAS
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,EBE CHAMICERO
DELTA AMACURO,VE10,TUCUPITA,VE1004,JUAN MILLAN,VE100403,EBE CONCENTRADA BOLIVARIANA N° 26 EUFEMIA DE ROJAS
DELTA AMACURO,VE10,TUCUPITA,VE1004,JUAN MILLAN,VE100403,EBE CONCENTRADA BOLIVARIANA N° 5 EL CONSEJO NER 116
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,EBE DANIEL NAVEA ACEVEDO
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,EBE EL INGENIO
MIRANDA,VE15,BRION,VE1504,HIGUEROTE,VE150401,EBE GABRIEL EMILIO MUNOZ
TACHIRA,VE20,TORBES,VE2027,TORBES,VE202701,EBE JOSE FELIX RIBAS
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,EBE JUANA TERESA HERRERA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,EBE LA MORROCONA
TACHIRA,VE20,SAN CRISTOBAL,VE2023,SAN JUAN BAUTISTA,VE202303,EBE MARISCAL SUCRE
MIRANDA,VE15,BRION,VE1504,TACARIGUA,VE150403,EBE MATURIN
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,EBE MENCA DE LEONI II
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,EBE NEGRO PRIMERO II
DELTA AMACURO,VE10,TUCUPITA,VE1004,MARISCAL ANTONIO JOSE DE SUCRE,VE100405,EBE SIMON RODRIGUEZ
MIRANDA,VE15,ZAMORA,VE1521,BOLIVAR,VE152102,EBE UNITARIA ANDRES GARRIDO N.E.R. 029
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN 12 DE MARZO
ZULIA,VE23,SAN FRANCISCO,VE2317,FRANCISCO OCHOA,VE231704,EBN 19 DE ABRIL
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN 24 DE JUNIO
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,EBN ALTOS DE SOAPIRE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN AMANDA DE SCHNELL
ZULIA,VE23,MARACAIBO,VE2313,CECILIO ACOSTA,VE231305,EBN ANDRE ELOY BLANCO
ZULIA,VE23,SAN FRANCISCO,VE2317,JOSE DOMINGO RUS,VE231707,EBN ANGEL QUINTERO
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,EBN ARAGUITA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,EBN BARRIO GUAICAIPURO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN BERNARDINA BUSTOS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN BOLIV MANUEL ANTONIO GOMEZ
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,EBN BOLIVARIANA ARAGUITA II
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN BOLIVARIANA MISION BARRIO A
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN BOLIVARIANA PARROQUIA  LA VEGA
DELTA AMACURO,VE10,TUCUPITA,VE1004,JUAN MILLAN,VE100403,EBN BOLIVARIANO DR. DIEGO CARBONELL
DELTA AMACURO,VE10,TUCUPITA,VE1004,JUAN MILLAN,VE100403,EBN BOLIVARIANO DR. RAUL VAN PRAAG
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN CATIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN CECILIO ACOSTA
BOLIVAR,VE07,SUCRE,VE0710,MOTIACO,VE071005,EBN CECILIO ACOSTA
TACHIRA,VE20,FERNANDEZ FEO,VE2007,SANTO DOMINGO,VE200703,EBN CHURURU
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN CIUDAD DE BARCELONA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN CIUDAD DE CARACAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,EBN CONCENTRADA 057 SIMON RODRIGUEZ (AI)
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,EBN CONCENTRADA 13
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN CONCENTRADA ZULIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN DIEGO RENATO MEJIAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN DON ROMULO GALLEGOS
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,EBN DR JUAN DE HOLMQUIST
ZULIA,VE23,SAN FRANCISCO,VE2317,FRANCISCO OCHOA,VE231704,EBN DR. MANUEL NORIEGA TRIGO.
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN EDUARDO CALCANO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN EL AMPARO
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,EBN EL SALTO
BOLIVAR,VE07,HERES,VE0705,LA SABANITA,VE070504,EBN ELSA MONTE DE RIVAS
BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,EBN ENAPA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,EBN ESFUERZO Y PROGRESO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN ESPANA
MIRANDA,VE15,INDEPENDENCIA,VE1511,SANTA TERESA DEL TUY,VE151101,EBN EZEQUIEL ZAMORA
BOLIVAR,VE07,CARONI,VE0701,UNARE,VE070106,EBN GRAL EZEQUIEL ZAMORA II
BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,EBN GUAYABITA
BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,EBN HUGO CHAVEZ FRIAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN JOSE GERVASIO ARTIGAS
TACHIRA,VE20,PANAMERICANO,VE2019,LA PALMITA,VE201902,EBN JOSE MARIA CORDOBA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,EBN JOSE ROJAS ARMAS
