estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,C.E EL PALMAR
TACHIRA,VE20,INDEPENDENCIA,VE2011,ROMAN CARDENAS,VE201103,"C.E.I ""RAMONBUENAHORA"""
TACHIRA,VE20,INDEPENDENCIA,VE2011,INDEPENDENCIA,VE201101,"C.E.I ""TARABAY"""
ZULIA,VE23,MIRANDA,VE2314,ALTAGRACIA,VE231401,C.E.I ABECEDARIO DEL NINO
ZULIA,VE23,ANTONIO JOSE DE SUCRE,VE2320,EL BATEY,VE232002,C.E.I DONA MENCA DE LEONI
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151101,C.E.I EMMA MORALES
ZULIA,VE23,SAN FRANCISCO,VE2317,SAN FRANCISCO,VE231701,C.E.I.  CANTO Y JUEGO
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I.  SOL DE PAPEL
ZULIA,VE23,MARACAIBO,VE2313,BOLIVAR,VE231302,C.E.I.  SOY FELIZ
TACHIRA,VE20,INDEPENDENCIA,VE2011,INDEPENDENCIA,VE201101,"C.E.I. ""MARISCAL SUCRE"""
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,C.E.I. ANA IDES LABRADOR
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. BOLIVAR NINO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. BRINOLFO JAIMES TORRES
ZULIA,VE23,COLON,VE2305,SAN CARLOS DEL ZULIA,VE230501,C.E.I. COLON
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,C.E.I. COLORIN COLORADO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. DEBORA MEDINA VIVAS
ZULIA,VE23,MARACAIBO,VE2313,CHIQUINQUIRA,VE231308,C.E.I. DOLORES VARGAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL RECREO,VE010109,C.E.I. DON BOSCO CHAPELLIN
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. DON RON SANDOVAL
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. DON SIMON RODRIGUEZ
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I. DRA GLADYS DE CARDOZO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. FRANCISCO DE PAULA REINA
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I. GRAL RAFAEL URDANETA
TACHIRA,VE20,AYACUCHO,VE2003,RIVAS BERTI,VE200302,C.E.I. GRANJA SAN FELIX
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. GUSTAVO NIETO
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,BOCONO,VE202202,C.E.I. JOSE TRINIDAD COLMENARES
ZULIA,VE23,ROSARIO DE PERIJA,VE2316,EL ROSARIO,VE231601,C.E.I. JOSEFINA ROQUE
ZULIA,VE23,MARACAIBO,VE2313,CHIQUINQUIRA,VE231308,C.E.I. LA EDAD FELIZ
TACHIRA,VE20,PANAMERICANO,VE2019,LA PALMITA,VE201902,C.E.I. LA PALMITA
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. LA PALMITA
ZULIA,VE23,MARACAIBO,VE2313,CACIQUE MARA,VE231303,C.E.I. LA RONDITA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,C.E.I. LAS ARDILLITAS
ZULIA,VE23,MARACAIBO,VE2313,CACIQUE MARA,VE231303,C.E.I. LOS PASITOS DEL SABER
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,C.E.I. LUCERITOS DE MI PUEBLO
ZULIA,VE23,LAGUNILLAS,VE2310,LIBERTAD,VE231002,C.E.I. MAMA ROSA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,C.E.I. MARAKITAS ZULIANAS
ZULIA,VE23,MARACAIBO,VE2313,CHIQUINQUIRA,VE231308,C.E.I. MUNDO DEL SABER
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,LIBERTAD,VE231101,C.E.I. NINO SIMON
TACHIRA,VE20,BOLIVAR,VE2004,BOLIVAR,VE200401,C.E.I. NINOS BOLIVARIANOS DE LA FRONTERA
ZULIA,VE23,MACHIQUES DE PERIJA,VE2311,SAN JOSE DE PERIJA,VE231104,C.E.I. ROSA INES CHAVEZ
ZULIA,VE23,MARACAIBO,VE2313,CRISTO DE ARANZA,VE231306,C.E.I. RUTH CARRILLO
ZULIA,VE23,MARACAIBO,VE2313,ANTONIO BORJAS ROMERO,VE231301,C.E.I. SAMIDE
TACHIRA,VE20,FERNANDEZ FEO,VE2007,FERNANDEZ FEO,VE200701,C.E.I. SAN RAFAEL DEL PINAL
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,C.E.I. SIMONCITO ANA IDES LABRADOR
ZULIA,VE23,SAN FRANCISCO,VE2317,SAN FRANCISCO,VE231701,C.E.I. SIMONCITO ARMANDO RAMIREZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.A. LUIS MORQUIO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.A. URDANETA
AMAZONAS,VE02,ATABAPO,VE0202,AUTONOMO ATABAPO,VE020200,C.E.I.B   YEMPETIPE IPANA
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.B VILLA PANAMERICANA
MIRANDA,VE15,PEDRO GUAL,VE1516,CUPIRA,VE151601,C.E.I.B. MACHURUCUTO
MIRANDA,VE15,SUCRE,VE1519,FILA DE MARICHES,VE151903,C.E.I.E ALFRED ISABEL
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.E PEDRO PEREZ DELGADO
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M MATEA BOLIVAR
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M. CARMEN VERONICA COELLO
MIRANDA,VE15,BARUTA,VE1503,BARUTA,VE150301,C.E.I.M. EL CARMEN
MIRANDA,VE15,BARUTA,VE1503,LAS MINAS DE BARUTA,VE150303,C.E.I.M. GRAL. JOSE ANTONIO PAEZ
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M. MATEA BOLIVAR
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M. MIRIAM ACUNA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M. OSWALDO PEREZ JAEN
MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,C.E.I.M. ZAIDA LANGE
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M. ZAIDA LANGE
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M.A AGUSTIN AVELEDO
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.M.A GABRIELA MISTRAL
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,C.E.I.N  ANTONIO JOSE DE SUCRE
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,C.E.I.N GUILLERMO RIBAS
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,C.E.I.N JUANA RAMIREZ
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,C.E.I.N MERCEDES RAZCO
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,C.E.I.N MIGUEL GERONIMO GUACAMAYA
MIRANDA,VE15,ACEVEDO,VE1501,MARIZAPA,VE150106,C.E.I.N NEGRA MATEA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.N ROSAL FONDUR
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,C.E.I.N.  CONC. ALICIA DE CALDERA (NER  225)
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.E.I.N. ALEJANDRO FUENMAYOR
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.E.I.N. AMANDA DE SCHNELL
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,C.E.I.N. ANA TERESA HERNANDEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. ANTOLIN ARANA SEGUNDO ARANA
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,C.E.I.N. ARAGUITA
DELTA AMACURO,VE10,TUCUPITA,VE1004,SAN RAFAEL,VE100407,C.E.I.N. BOLIV. MIGUEL OTERO SILVA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. BOLIVIA Y TOVAR
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. BRISAS DE CASALTA
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.N. CARMEN ELENA DE TERAN
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.N. CECILIO ACOSTA
MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,C.E.I.N. CIUDAD MARICHE
MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,C.E.I.N. CIUDAD MARICHES
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. CONSUELO FERNANDEZ
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,C.E.I.N. CUSIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. DR JOSE GREGORIO HERNANDEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. DR RAUL DE LEONI
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. EL CARDON
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.N. EL MANANTIAL
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,C.E.I.N. EMMA MORALES
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. GENERAL RAFAEL URDANETA
ZULIA,VE23,GUAJIRA,VE2315,ELIAS SANCHEZ RUBIO,VE231503,C.E.I.N. GUANA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.N. INDIO CHAGUAMARAL
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.N. INDIO TAMANACO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. IRENE DEL CARMEN PANTEZ
MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,C.E.I.N. JERMAN UBALDO LIRA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,C.E.I.N. JOSE MARIA VELAZ
ZULIA,VE23,MARACAIBO,VE2313,COQUIVACOA,VE231307,C.E.I.N. JOSEFINA DE ACOSTA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. JUAN MARIA VIANNEY
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,C.E.I.N. LA CANDELARIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,ANTIMANO,VE010102,C.E.I.N. LA CUMBRE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.E.I.N. LA VEGA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.I.N. LAS ABEJITAS
ZULIA,VE23,SAN FRANCISCO,VE2317,JOSE DOMINGO RUS,VE231707,C.E.I.N. LAURA VICUNA
ZULIA,VE23,SAN FRANCISCO,VE2317,MARCIAL HERNANDEZ,VE231706,C.E.I.N. LUVIS PULIDO DUARTE
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,C.E.I.N. MARARITO
MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,C.E.I.N. MARIA BELEN SAN JUAN
MIRANDA,VE15,LANDER,VE1512,OCUMARE DEL TUY,VE151201,C.E.I.N. MERECEDES RAZCO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. MIREYA VANEGAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. MONSENOR JESUS MARIA PELLIN
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.N. NEGRA MATEA
ZULIA,VE23,GUAJIRA,VE2315,GUAJIRA,VE231504,C.E.I.N. NEIMA
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.N. ROMULO GALLEGOS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. SUCRE
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N. VICTORIA GAMUS DE GHETEA
MIRANDA,VE15,SIMON BOLIVAR,VE1518,SAN FRANCISCO DE YARE,VE151801,C.E.I.N. VIRGEN DE BETANIA
MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,C.E.I.N. VIRGEN DE BETANIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.E.I.N. VIRGINIA BENITEZ
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,C.E.I.N.B. EDUARDO CHURION
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C.E.I.N.B. SIMON BOLIVAR
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.I.N.B. VILLA PANAMERICANA
MIRANDA,VE15,PLAZA,VE1517,GUARENAS,VE151701,C.E.P.A. (U.E.-COL.)
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,C.E.R. LUISA CACERES DE ARISMENDI
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.H. MARIA ANTONIA BOLIVAR
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.I FRANCISCO DE PAULA REINA
MIRANDA,VE15,BUROZ,VE1505,MAMPORAL,VE150501,C.N.N26 BELEN GAMELOTAL
MIRANDA,VE15,BUROZ,VE1505,MAMPORAL,VE150501,C.N.N28 SANTA ROSALIA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SANTA ROSALIA,VE010119,C.T. EL CARMELO
ZULIA,VE23,MARACAIBO,VE2313,MANUEL DAGNINO,VE231313,C.T.N ARTESANAL EL PILAR
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,C.T.N. MANUEL EDUARDO HERNANDEZ
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,VE010112,C.T.N. MANUEL EDUARDO HERNANDEZ
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,CACIQUE ARAMAIPURO
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,CACIQUE CARAPAICA
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,CACIQUE CARIBE
LA GUAIRA,VE24,VARGAS,VE2401,EL JUNKO,VE240105,CACIQUE PANARIGUA
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,CACIQUE TAMANACO
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,CACIQUE TIUNA
BOLIVAR,VE07,CARONI,VE0701,UNIVERSIDAD,VE070107,CAIPA LEO KANNER
BOLIVAR,VE07,CARONI,VE0701,UNARE,VE070106,CAMBALACHE
ANZOATEGUI,VE03,PEDRO MARIA FREITES,VE0313,PEDRO MARIA FREITES,VE031301,CAMPO MATA (U.E.-F.Y A.)
ZULIA,VE23,MARA,VE2312,LUIS DE VICENTE,VE231204,CANO NEGRO
MIRANDA,VE15,SUCRE,VE1519,FILAS DE MARICHES,VE151903,CAPILLA MARIA AUXILIADORA
LARA,VE13,IRIBARREN,VE1303,JUAN DE VILLEGAS,VE130304,CARDENAL MARCELO SPINOLA
BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,CARUTO
ZULIA,VE23,LA CANADA DE URDANETA,VE2309,CONCEPCION,VE230901,CASA BLANCA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL PARAISO,VE010108,CASA CATOLICA INTEGRAL PEDRO DONDERS
TACHIRA,VE20,TORBES,VE2027,TORBES,VE202701,CASA COMUNAL SECTOR LOS ANDES SAN JOSECITO
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,CASA DE LA CULTURA DR. EDGAR FLOREZ  LA TENDIDA
ZULIA,VE23,SAN FRANCISCO,VE2317,JOSE DOMINGO RUS,VE231707,CASA HOGAR EL CAUJARO
ZULIA,VE23,LA CANADA DE URDANETA,VE2309,EL CARMELO,VE230904,CASA HOGAR EL TAPARO
ZULIA,VE23,LA CANADA DE URDANETA,VE2309,CONCEPCION,VE230901,CASA PARTICULAR ALICIA
ZULIA,VE23,LA CANADA DE URDANETA,VE2309,ANDRES BELLO,VE230902,CASA PARTICULAR ALICIA
MIRANDA,VE15,GUAICAIPURO,VE1510,ALTAGRACIA DE LA MONTANA,VE151002,CB EL CASCAJO
MIRANDA,VE15,PAEZ,VE1514,RIO CHICO,VE151401,CB ESCURAIDA DUQUE
BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,CCL BELLA VISTA
DELTA AMACURO,VE10,TUCUPITA,VE1004,MONSENOR ARGIMIRO GARCIA,VE100406,CCL FE Y ALEGRIA TUCUPITA
DELTA AMACURO,VE10,TUCUPITA,VE1004,MONSENOR ARGIMIRO GARCIA,VE100406,CCL MONSENOR ARGIMIRO GARCIA
DELTA AMACURO,VE10,CASACOIMA,VE1002,IMATACA,VE100201,CCL MONSENOR ARGIMIRO GARCIA - EXTENSION CASACOIMA
BOLIVAR,VE07,CARONI,VE0701,UNARE,VE070106,CCL SANTA JOAQUINA
BOLIVAR,VE07,CARONI,VE0701,VISTA AL SOL,VE070108,CCL VISTA AL SOL
BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,CCL VISTA AL SOL
MIRANDA,VE15,GUAICAIPURO,VE1510,PARACOTOS,VE151005,CE SATUQUE N.E.R. 07
ZULIA,VE23,SAN FRANCISCO,VE2317,SAN FRANCISCO,VE231701,CECAL ANGEL DE LA GUARDA
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,CECAL ANGEL DE LA GUARDA
MIRANDA,VE15,SUCRE,VE1519,PETARE,VE151901,CECAL BARRIOS UNIDOS
BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,CECAL CAICARA
BOLIVAR,VE07,CEDENO,VE0702,PIJIGUAOS,VE070206,CECAL CAICARA - EXTENSION PIJIGUAO
ZULIA,VE23,MARACAIBO,VE2313,CECILIO ACOSTA,VE231305,CECAL CRISTO REY
ZULIA,VE23,MARACAIBO,VE2313,CHIQUINQUIRA,VE231308,CECAL CRISTO REY
BOLIVAR,VE07,CARONI,VE0701,DALLA COSTA,VE070103,CECAL DON BOSCO (SAN FELIX)
