mes_solo,estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion,latitud,longitud,desagregacion,beneficiarios
2020-10-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,"""PADRE JOSE MARIA VELAZ""",10.428995,-67.001037,f_3_6,43
2020-10-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,"""PADRE JOSE MARIA VELAZ""",10.428995,-67.001037,f_7_12,192
2020-11-30T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,"""PADRE JOSE MARIA VELAZ""",10.428995,-67.001037,m_3_6,48
2020-10-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,"""PADRE JOSE MARIA VELAZ""",10.428995,-67.001037,m_7_12,199
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,1 CEI JEBE VIEJO,-69.6068,11.2563,f_3_6,153
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,1 CEI JEBE VIEJO,-69.6068,11.2563,f_mayores_de_19,9
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,1 CEI JEBE VIEJO,-69.6068,11.2563,m_3_6,171
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,1 CEI JEBE VIEJO,-69.6068,11.2563,m_mayores_de_19,2
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,10 ESCUELA PRIMARIA ESTADAL JULIO CESAR PARRA,11.0501,-71.0138,f_7_12,376
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,10 ESCUELA PRIMARIA ESTADAL JULIO CESAR PARRA,11.0501,-71.0138,f_mayores_de_19,20
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,10 ESCUELA PRIMARIA ESTADAL JULIO CESAR PARRA,11.0501,-71.0138,m_7_12,379
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,10 ESCUELA PRIMARIA ESTADAL JULIO CESAR PARRA,11.0501,-71.0138,m_mayores_de_19,5
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11 LICEO NACIONAL ZUMURUCUARE,11.4128,-69.6578,f_12_17,50
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11 LICEO NACIONAL ZUMURUCUARE,11.4128,-69.6578,f_mayores_de_19,3
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11 LICEO NACIONAL ZUMURUCUARE,11.4128,-69.6578,m_12_17,60
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11 LICEO NACIONAL ZUMURUCUARE,11.4128,-69.6578,m_mayores_de_19,1
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11CEIS NINO SIMON,-69.7203,11.3827,f_3_6,112
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11CEIS NINO SIMON,-69.7203,11.3827,f_mayores_de_19,6
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11CEIS NINO SIMON,-69.7203,11.3827,m_3_6,110
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11CEIS NINO SIMON,-69.7203,11.3827,m_mayores_de_19,1
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS LAS EUGENIA,69.6511,11.41,f_3_6,27
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS LAS EUGENIA,69.6511,11.41,f_mayores_de_19,1
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS LAS EUGENIA,69.6511,11.41,m_3_6,24
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS SAN ANTONIO,-69.671,11.4222,f_3_6,121
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS SAN ANTONIO,-69.671,11.4222,f_mayores_de_19,6
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS SAN ANTONIO,-69.671,11.4222,m_3_6,97
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS SAN ANTONIO,-69.671,11.4222,m_mayores_de_19,1
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,13 CEIS CRUZ VERDE,-69.6567,11.4108,f_3_6,158
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,13 CEIS CRUZ VERDE,-69.6567,11.4108,f_mayores_de_19,8
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,13 CEIS CRUZ VERDE,-69.6567,11.4108,m_3_6,157
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,13 CEIS CRUZ VERDE,-69.6567,11.4108,m_mayores_de_19,2
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,2 LICEO NACIONAL JEBE VIEJO,11.3931,-69.7014,f_12_17,206
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,2 LICEO NACIONAL JEBE VIEJO,11.3931,-69.7014,f_mayores_de_19,10
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,2 LICEO NACIONAL JEBE VIEJO,11.3931,-69.7014,m_12_17,184
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,2 LICEO NACIONAL JEBE VIEJO,11.3931,-69.7014,m_mayores_de_19,3
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,f_12_17,125
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,f_18_19,33
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,f_3_6,183
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,f_7_12,254
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,f_mayores_de_19,594
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,m_12_17,139
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,m_18_19,49
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,m_3_6,227
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,m_7_12,262
2020-06-30T00:00:00Z,BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO,8.38,-62.62,m_mayores_de_19,594
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,3 UPE EL RECREO,NA,NA,f_7_12,150
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,3 UPE EL RECREO,NA,NA,f_mayores_de_19,7
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,3 UPE EL RECREO,NA,NA,m_7_12,110
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,3 UPE EL RECREO,NA,NA,m_mayores_de_19,2
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,4CEIS LA CANDELARIA,-69.6658,11.3994,f_3_6,34
2020-10-31T00:00:00Z,FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,4CEIS LA CANDELARIA,-69.6658,11.3994,f_mayores_de_19,2
